DRILLHOLE_NO,z_true,EASTING_GDA2020,NORTHING_GDA2020
4,42.0,647138.76,6991660.71
7,58.33529411764706,656038.75,6994760.5
8,42.21052631578947,655938.71,6995760.65
54,7.5,429126.58,7238366.6
55,10.0,427619.55,7238757.48
56,21.3,427619.62,7238763.46
140,27.7,492139.68,7117654.4
141,37.09090909090909,471659.61,7308007.51
142,7.8,471659.61,7308007.51
146,36.0,540881.84,6499723.52
147,33.333333333333336,515927.84,6497354.53
150,42.787499999999994,510525.68,6598108.38
153,20.25,536929.89,7051242.5
155,26.285714285714285,540233.89,7047133.58
156,16.5,521018.51,7049406.25
157,18.0,521739.52,7049197.37
158,6.5249999999999995,523548.56,7048654.21
160,1.4166666666666667,526168.81,7049479.42
161,5.79,500154.57,7113296.41
162,18.195999999999998,502584.6,7113285.41
163,14.7325,515049.66,7112242.38
164,12.691818181818183,513248.0,7106309.0
165,15.493888888888888,514130.66,7105772.4
166,9.0275,523410.6,7108202.4
167,4.816000000000001,524118.57,7107335.4
168,3.4299999999999997,525492.62,7106651.46
169,5.4559999999999995,525960.64,7105146.47
170,15.662222222222223,526321.73,7104472.4
171,17.304545454545455,525730.7,7104236.47
172,14.95375,526738.7,7103638.39
173,13.12,518331.59,7123706.5
174,31.3175,520438.64,7123516.44
175,22.963333333333335,521068.61,7122402.45
176,22.963333333333335,521068.61,7122402.45
177,28.972500000000004,520811.71,7124139.45
178,19.6575,520811.7,7124133.47
179,19.465,520811.7,7124133.47
180,35.23,520811.71,7124139.45
181,5.7075,520811.71,7124139.45
182,27.0875,519718.67,7122946.43
183,14.325000000000001,512863.69,7122603.36
184,13.256,512863.69,7122603.36
185,18.491666666666667,511575.68,7122291.38
186,6.7837499999999995,526232.7,7103041.38
187,14.376666666666667,526249.71,7103497.41
188,16.205000000000002,526185.64,7102744.45
189,22.25,527313.65,7102880.45
190,10.16,538749.66,7102055.37
191,8.636666666666667,538777.68,7101668.44
192,7.62,539917.84,7103331.53
193,14.723999999999998,533335.63,7099976.38
194,7.62125,516682.62,7106471.4
195,16.611,513325.0,7105698.0
196,14.934999999999999,513282.56,7105830.33
197,10.413333333333334,511683.64,7104775.35
198,13.3325,512114.0,7106574.0
199,1.83,514901.69,7110590.45
200,1.83,514908.69,7110590.44
201,2.36375,514908.69,7110590.44
202,2.7616666666666667,514908.69,7110590.44
203,2.236666666666667,514901.69,7110590.45
204,85.61875,524080.7,7105993.43
205,91.55999999999999,523714.71,7104723.39
206,76.15666666666667,524282.72,7104522.33
207,42.790000000000006,524798.71,7104137.28
208,24.241666666666664,525093.7,7103786.42
209,46.06,523224.71,7105146.34
210,57.337500000000006,522777.67,7105460.32
211,10.438333333333334,522343.71,7105780.36
212,49.144999999999996,521908.73,7105981.33
213,15.357499999999998,521530.65,7106212.32
214,23.211666666666662,521179.63,7106627.31
215,27.50875,520795.69,7106896.38
216,15.622,520502.7,7107374.39
217,98.26500000000001,524109.69,7105676.31
218,112.60916666666667,523687.66,7104470.38
219,65.33,523065.72,7106496.3
220,50.542142857142856,502174.58,7114201.46
221,51.65333333333333,521601.66,7105648.39
222,18.73,502306.6,7112040.46
223,6.991666666666666,524259.71,7101995.34
224,16.080000000000002,526052.63,7102036.49
225,2.285,523254.63,7101485.41
226,8.889999999999999,523074.61,7101886.31
230,22.514,502298.56,7111787.41
231,27.891,502315.71,7111540.44
232,3.0,504133.65,7094027.4
233,15.0,504464.61,7094220.32
234,2.0,543669.73,7121008.43
235,16.083333333333332,543669.73,7121008.43
237,7.3125,516682.62,7106471.4
238,21.477272727272727,515229.85,7111828.54
239,8.0625,540079.87,7102899.56
240,13.083333333333334,540672.6,7116621.44
241,33.1475,514588.71,7112316.44
242,12.575000000000001,500972.54,7113591.4
243,20.025,515735.61,7114598.35
244,28.166666666666668,515996.58,7111879.45
245,21.5,516820.88,7111255.54
246,15.0,517894.84,7095280.53
247,14.666666666666666,514453.59,7106523.46
248,23.0,518229.65,7122149.46
249,22.5,504205.55,7122472.36
252,17.875,517313.93,7106232.58
253,14.5,512548.7,7120636.41
255,9.9,546781.73,7126645.44
256,27.325000000000003,574403.87,6502786.82
260,215.64096153846154,588702.0,6518940.93
263,42.39333333333334,549404.68,6602602.21
264,46.94111111111111,569635.76,6604955.4
265,84.6575,588476.84,6607130.54
271,101.74857142857142,577730.8,6909400.12
272,271.0138,577730.84,6909406.0
274,21.5,587148.79,7008668.38
275,4.333333333333333,586637.67,7008856.26
276,34.875,588230.83,7007105.53
277,22.333333333333332,587899.89,7007291.41
278,21.0,586377.77,7007332.16
279,40.09375,589945.89,7010877.55
280,31.3,590238.74,7010751.26
281,37.2,590281.67,7011352.23
282,16.2,588749.76,7012182.25
283,14.666666666666666,590799.7,7009663.17
284,12.775384615384613,571063.67,7109167.42
285,23.875,563634.67,7120256.5
286,9.6,563946.9,7105182.49
289,23.666666666666668,556250.79,7120500.37
290,10.4,589713.78,7124521.39
294,219.94333333333333,601857.04,6518108.07
295,225.7084615384615,635770.9,6612778.33
298,73.21666666666667,636213.01,6612732.52
300,6.875,637181.8,6747312.46
301,30.0,622159.94,6752236.63
302,30.818181818181817,643126.94,6748484.89
303,16.0,642941.98,6746797.77
304,15.75,644694.95,6750069.86
305,17.75,643068.82,6748494.49
306,15.346153846153847,642941.87,6749034.52
307,13.636363636363637,643961.81,6750401.51
308,8.38888888888889,640525.87,6755443.5
309,15.625,613828.94,6739613.82
310,2.095,646299.89,6811466.75
313,43.4375,646273.83,6952894.55
314,7.25,629642.75,6975066.22
315,25.678571428571427,628565.69,6976385.07
316,4.075,606521.94,6978342.15
317,6.075,632767.92,6980749.33
318,11.68,606547.87,6973930.17
319,14.942857142857141,603073.72,6977852.16
320,13.945,634418.93,7067784.43
321,9.334999999999999,645830.75,7059343.32
322,12.25,634270.72,7064719.42
323,2.25,633999.69,7064816.43
324,14.5,633503.82,7066113.45
325,4.5,634983.86,7065751.49
326,3.875,634983.86,7065751.49
327,8.416666666666666,635396.89,7065906.54
330,4.5,633510.8,7066113.38
331,14.746666666666664,625199.82,7105115.62
332,5.41,630257.73,7105466.42
333,20.062857142857144,638817.93,7105327.42
334,15.694999999999999,632526.96,7069963.52
335,14.223333333333334,640281.94,7068837.42
336,14.766666666666666,611617.85,7105457.49
